match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
5398285611,4525359385,false,1588683825,1819,,,7,22,62,3,153,"61,17,126,114,14","26,99,100,30,1"
5398285403,4525358012,true,1588683818,1733,,,7,22,33,4,182,"105,2,54,94,68","84,28,5,82,8"
5398285317,4525352684,true,1588683819,1562,4597,4,7,3,67,9,227,"67,28,21,19,119","93,84,39,3,78"
5398285219,4525355236,true,1588683814,1531,2031,2,7,22,31,6,188,"99,84,62,10,93","104,113,30,6,86"
5398285017,4525325578,false,1588683810,522,4264,2,0,22,51,4,156,"9,84,70,35,86","64,29,42,22,94"
5398284901,4525355044,true,1588683800,1581,2294,3,7,22,42,5,156,"40,22,95,90,106","114,86,84,78,12"
5398284502,4525360327,false,1588683784,1878,2040,1,0,4,39,3,154,"99,33,95,120,57","6,26,27,126,49"
5398284419,4525352158,true,1588683789,1595,3602,4,7,3,53,8,231,"8,4,62,104,21","83,108,129,88,6"
5398284013,4525346411,false,1588683779,1155,3131,4,7,22,51,7,132,"31,22,14,21,72","6,2,3,37,106"
5398284006,4525350381,true,1588683781,1287,2778,2,7,22,42,4,144,"14,31,12,7,94","58,11,50,44,86"
5398284005,4525358423,true,1588683773,1772,294,1,7,22,42,2,133,"31,17,105,97,109","99,41,106,21,84"
5398283913,4525352470,true,1588683776,1622,1113,1,0,4,42,5,182,"39,89,7,48,105","120,95,121,42,23"
5398283619,4525354237,true,1588683765,1667,2521,4,7,22,44,9,227,"108,32,39,35,100","94,45,86,11,129"
5398283614,4525357993,false,1588683744,1779,2233,2,7,22,59,9,155,"7,11,84,108,6","112,26,28,93,74"
5398283605,4525357038,true,1588683766,1753,3292,5,7,22,51,5,184,"63,54,87,17,74","64,104,46,8,111"
5398283602,4525357425,false,1588683758,1758,,,7,22,12,2,182,"74,2,11,8,14","59,89,94,128,81"
5398283515,4525357898,true,1588683750,1683,4839,4,7,22,79,7,122,"38,84,62,49,8","56,23,90,120,41"
5398283514,4525355776,false,1588683765,1703,3362,5,7,22,51,7,151,"85,73,7,88,93","75,84,8,70,39"
5398283407,4525357658,false,1588683758,1767,2914,4,7,22,55,8,227,"8,28,105,84,15","62,30,41,98,59"
5398283302,4525352397,true,1588683758,1592,3026,6,7,22,43,9,185,"46,104,121,30,54","23,87,6,39,37"
5398283218,4525353909,true,1588683756,1681,4204,2,7,3,67,10,227,"100,2,114,27,11","31,71,121,17,93"
5398283212,4525339650,true,1588683743,1023,4578,2,7,22,72,5,182,"38,59,53,121,20","45,95,98,3,61"
5398283117,4525355457,true,1588683750,1749,3711,3,7,22,53,5,151,"86,80,30,53,2","27,67,14,60,126"
